ARCHETYPE_AERIE_DEFENDER	Difensore del Nido
ITEM_THICKBLOODBROTH_DESC	Un brodo ricavato dall'essenza di un grande Goblin, il cui sapore è mascherato dalla dolcezza della Mela. Conferisce Resistenza al sanguinamento a chi lo consuma.
ITEM_THICKBLOODBROTH_EFFECT	Ripristina il Nutrimento. Conferisce Resistenza al sanguinamento per 30 minuti.
ITEM_TOXICOIL1_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da veleno.
ITEM_TOXICOIL2_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da veleno.
ITEM_TOXICOIL3_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da veleno.
ITEM_TOXICOIL4_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da veleno.
ITEM_TOXICOIL5_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da veleno.
ITEM_TOXICOIL_DESC	Usa per rivestire l'arma, convertendo parte del suo danno in Danno da decadimento.
ITEM_TREANTHEAD_DESC	L'enorme testa coperta di corteccia di un Treant caduto, con i lineamenti lignei irrigiditi in una cupa sfida. Il muschio aderisce ancora alla mascella e un debole calore permane nelle radici che un tempo lo nutrivano.
ITEM_TREANTHEART_DESC	Il nucleo pulsante di un Treant, colmo di magia vitale latente. Se ne avverte ancora il battito ritmico nel palmo.
ITEM_TREANTWOOD_DESC	Legno spesso e vivo ricavato dai Treant, che vibra debolmente di forza rigenerante.
ITEM_WARCAT_EFFECT	Lancia un grido di battaglia all'inizio del combattimento, conferendo Furia al giocatore. Poi conferisce quantità minori di Furia aggiuntiva ogni 6 secondi finché il combattimento continua.
ITEM_WARMINGBROTH_DESC	Un brodo confortante che trattiene il calore, con infuso di petali ardenti di Emberbloom e uova nutrienti. Scaccia il freddo dell'inverno più rigido e protegge dalle temperature gelide.
ITEM_WARMINGBROTH_EFFECT	Ripristina il Nutrimento. Conferisce 10% Salute massima, 25% Resistenza al ghiaccio e Resistenza al gelo per 30 minuti.
ITEM_WATERFLASK1_DESC	Una fiasca sigillata contenente acqua.
ITEM_WATERFLASK1_EFFECT	Lancia per creare una Pozza d'Acqua.<x1/> Le cariche si ricaricano riposando.
ITEM_WATERFLASK2_DESC	Una fiasca sigillata contenente acqua.
ITEM_WATERFLASK2_EFFECT	Lancia per creare una Pozza d'Acqua.<x1/> Le cariche si ricaricano riposando.
ITEM_WATERFLASK3_DESC	Una fiasca sigillata contenente acqua.
ITEM_WATERFLASK3_EFFECT	Lancia per creare una Pozza d'Acqua.<x1/> Le cariche si ricaricano riposando.
ITEM_WATERFLASK4_DESC	Una fiasca sigillata contenente acqua.
ITEM_WATERFLASK4_EFFECT	Lancia per creare una Pozza d'Acqua.<x1/> Le cariche si ricaricano riposando.
ITEM_WATERFLASK5_DESC	Una fiasca sigillata contenente acqua.
ITEM_WATERFLASK5_EFFECT	Lancia per creare una Pozza d'Acqua.<x1/> Le cariche si ricaricano riposando.
ITEM_WATERFLASK_DESC	Una fiasca sigillata contenente acqua.
ITEM_WATERFLASK_EFFECT	Lancia per creare una Pozza d'Acqua.<x1/> Le cariche si ricaricano riposando.
ITEM_WATER_DESC	L'acqua distillata è perfetta da bere in viaggio. È un ingrediente comune in cucina e in alchimia in tutta Mirkea.
ITEM_WATER_EFFECT	Ripristina il Nutrimento.
ITEM_WEAKHEALTHEXTRACT1_DESC	Un estratto concentrato d'erbe usato negli unguenti curativi di base.
ITEM_WEAKHEALTHEXTRACT2_DESC	Un estratto concentrato d'erbe usato negli unguenti curativi di base.
ITEM_WEAKHEALTHEXTRACT3_DESC	Un estratto concentrato d'erbe usato negli unguenti curativi di base.
ITEM_WEAKHEALTHEXTRACT4_DESC	Un estratto concentrato d'erbe usato negli unguenti curativi di base.
ITEM_WEAKHEALTHEXTRACT5_DESC	Un estratto concentrato d'erbe usato negli unguenti curativi di base.
ITEM_WEAKHEALTHEXTRACT_DESC	Un estratto concentrato d'erbe usato negli unguenti curativi di base.
ITEM_WEAKMAGICEXTRACT1_DESC	Una tintura alchemica ricavata da piante selvatiche.
ITEM_WEAKMAGICEXTRACT2_DESC	Una tintura alchemica ricavata da piante selvatiche.
ITEM_WEAKMAGICEXTRACT3_DESC	Una tintura alchemica ricavata da piante selvatiche.
ITEM_WEAKMAGICEXTRACT4_DESC	Una tintura alchemica ricavata da piante selvatiche.
ITEM_WEAKMAGICEXTRACT5_DESC	Una tintura alchemica ricavata da piante selvatiche.
ITEM_WEAKMAGICEXTRACT_DESC	Una tintura alchemica ricavata da piante selvatiche.
ITEM_WILDWOODPINE_DESC	Un pino alto e resistente, originario delle regioni più selvagge di Aldoria, apprezzato per la robustezza e la flessibilità.
ITEM_WOLFFANG_DESC	Una zanna ricurva di lupo selvatico.
PASSIVE_ACCELERATEDCASTING_DESC	Dopo aver usato un'abilità da Elfo, ottieni +15% Velocità di movimento per 3 secondi e +15% Velocità d'attacco per 3 secondi
PASSIVE_AMBUSH_DESC	Danno perforante +20%; dopo uno Scatto rapido, il tuo prossimo attacco a segno entro 3 secondi infligge +25% Danno fisico.
PASSIVE_ARCANEENDURANCE_DESC	Ora Energia aumenta la Concentrazione massima di 5
PASSIVE_ARROWOFTHEDEEPCOLD_DESC	Quando colpisci un nemico con il terzo attacco a distanza, se è Assiderato, scagli da dietro di lui un'enorme freccia di ghiaccio che trafigge tutti i nemici colpiti, infliggendo Danno da ghiaccio.
PASSIVE_ASHENESCALATION_DESC	Ogni volta che i tuoi incantesimi consumano Ustione, ottieni 20% Danno da ustione per accumulo consumato per 8 secondi.
PASSIVE_BLACKBLOODTEMPO_DESC	Colpire un nemico con un Attacco finale consuma fino a 10 accumuli di Veleno dal bersaglio e applica Sanguinamento pari al Veleno consumato. Se consumi almeno 5 accumuli di Veleno, ottieni 5 accumuli di Inoculazione. Tempo di recupero: 6 secondi.
PASSIVE_BLAZEBORNEDAGGERS_DESC	Colpire un nemico con il tuo Attacco finale scatena una scarica di fuoco che infligge Danno da fuoco a tutti i nemici vicini. Il danno aumenta in base ai tuoi accumuli di Ondata temporale, fino a 10.
PASSIVE_BLAZINGWRATH_DESC	Dopo aver speso Furia, ottieni un'Aura di Fuoco per 5 secondi, che brucia i nemici e applica accumuli di Ustione. La durata aumenta di 0,5 secondi per ogni accumulo di Furia speso.
PASSIVE_BLOODFRENZY_DESC	Probabilità di critico +6%; infliggi +12% Danno fisico ai nemici con Sanguinamento.
PASSIVE_BLOODINTHEWATER_DESC	Colpendo un nemico con almeno 10 accumuli di Sanguinamento, ottieni +15% Probabilità di critico per 5 secondi.
PASSIVE_BLUNTFORCEEXECUTE_DESC	Quando uccidi un nemico con Danno contundente, ottieni 20% Danno fisico per 5 secondi.
PASSIVE_BONEBREAKER_DESC	Gli attacchi base infliggono Danno contundente
PASSIVE_BULWARK_DESC	Danno fisico +15%; quando un singolo colpo ti infligge danni superiori al 30% degli HP, ottieni +25 Armatura per 3 secondi.
PASSIVE_CALLTOTHEMOON_DESC	Durante la canalizzazione, gli impatti di Ululato Alfa piovono sul punto di mira, seguendone gli spostamenti.
PASSIVE_CALMDRIFT_DESC	Dopo aver subito danni, la Rigen. salute aumenta del 50% per 5 secondi
PASSIVE_CHANNELEDCALL_DESC	Tieni premuto per canalizzare: Ululato Alfa genera impatti attorno a te finché canalizzi, consumando Concentrazione ogni secondo.
PASSIVE_CHILLHOWL_DESC	Ululato spara una raffica di dardi di ghiaccio che inseguono i nemici vicini, infliggendo Danno da ghiaccio e applicando 2 accumuli di Gelo.
PASSIVE_CINDERDETONATION_DESC	Quando colpisci un nemico con il terzo attacco, se ha Ustione, scateni un'esplosione di Fuoco.
PASSIVE_COLDSCALEDPOWER_DESC	Quando applichi Gelo a un nemico, ottieni Danno magico bonus pari alla quantità di Gelo sul nemico per 5 secondi.
PASSIVE_COUNTERFIREDISCIPLINE_DESC	Dopo una Parata riuscita, il tuo prossimo Attacco finale a distanza infligge il 30% di danno in più. Dura 6 secondi.
PASSIVE_DEADLYRHYTHM_DESC	Con un colpo critico, ottieni +25% Velocità d'attacco per 3 secondi
PASSIVE_DECAYCHANNEL_DESC	Dopo aver lanciato un incantesimo di Magia della peste, ottieni il 15% di Danno magico in più per 3 secondi.
PASSIVE_DEFENDANDASSAULT_DESC	Una Rappresaglia riuscita conferisce 15% Velocità d'attacco per 6 secondi.
PASSIVE_DISMANTLE_DESC	Ogni volta che consumi Sanguinamento su un nemico, il danno nel tempo residuo viene inflitto anche tutto insieme come Danno da etere.
PASSIVE_DUALBOND_DESC	Potere della Natura Selvaggia si applica sia a te sia al tuo bersaglio.
PASSIVE_DUALPATH_DESC	Dopo aver inflitto Danno fisico, ottieni 3% Danno magico cumulabile per 4 secondi. Dopo aver inflitto Danno magico, ottieni 3% Danno fisico cumulabile per 4 secondi. Ogni effetto si accumula fino a 5 volte.
PASSIVE_EARTHSHAKER_DESC	Forza conferisce 0,5 Danno magico aggiuntivo
PASSIVE_ECHOEDFOCUS_DESC	Quando un nemico vicino ha più di 5 accumuli di Eco, ottieni 15% Rigen. concentrazione.
PASSIVE_ECHOESOFICE_DESC	Ogni volta che consumi Gelo su un nemico, applichi la stessa quantità di Eco temporale per la durata residua.
PASSIVE_ECHOINGVANISH_DESC	Dissolvenza perfetta applica 5 accumuli di Eco temporale.
PASSIVE_ECHOSHADE_DESC	Quando consumi Eco temporale da un nemico, se ne consumi almeno 5 accumuli, crei un Clone d'ombra vicino a quel nemico per 8 secondi. Poi mandi i Cloni d'ombra vicini, incluso quello creato, ad attaccarlo. Tempo di recupero: 10 secondi.
PASSIVE_ECHOWEAVER_DESC	Agilità conferisce 0,5 Danno magico aggiuntivo
PASSIVE_ELVISHVELOCITY_DESC	Dopo aver usato un'abilità da Elfo, ottieni +15% Velocità di movimento per 2 secondi.
PASSIVE_EMBERCASCADE_DESC	Colpire un nemico con Ustione con un attacco a distanza scaglia una piccola Palla di fuoco contro il bersaglio. Il numero di palle di fuoco aumenta in base agli accumuli di Ustione, fino a 10.
PASSIVE_EMBERLASH_DESC	Gli attacchi ravvicinati possono incendiare i nemici colpiti, infliggendo una scarica di danno. La probabilità dipende dal numero di accumuli di Ustione sul bersaglio.
PASSIVE_ENRAGINGPARRY_DESC	Le parate riuscite conferiscono 5 accumuli di Furia.
PASSIVE_FESTERINGWOUNDS_DESC	Quando infliggi un colpo critico a un nemico Avvelenato, prolunghi il Veleno su quel nemico di 2 secondi. Tempo di recupero: 3 secondi per nemico
PASSIVE_FINISHINGEDGE_DESC	Quando infliggi un colpo critico a un nemico sotto il 40% di Salute, ottieni il 20% di Danno critico in più per 3 secondi.
PASSIVE_FLAMEFEEDFRENZY_DESC	Ogni volta che i tuoi incantesimi consumano Ustione, ottieni 2 Celerità magica e 2% Velocità d'attacco per accumulo consumato, fino al 24%, per 5 secondi.
PASSIVE_FOCUSEDASSAULT_DESC	Dopo aver usato un'abilità da Elfo, ottieni +15% Danno d'attacco per 3 secondi.
PASSIVE_FROSTBITEFOCUS_DESC	Attaccare un nemico Assiderato conferisce un Effetto ad accumulo che aumenta il tuo Danno da ghiaccio per 10 secondi
PASSIVE_FROSTBORNEDAGGERS_DESC	Quando colpisci un nemico con il tuo Attacco finale, se ha almeno 5 accumuli di Eco temporale, li consumi tutti per scatenare una scarica di ghiaccio che applica a tutti i nemici vicini Gelo pari all'Eco temporale consumata.
PASSIVE_FROSTFORGEDMIGHT_DESC	Lanciare un incantesimo di ghiaccio aumenta il tuo Danno fisico del 25% per 5 secondi.
PASSIVE_FROSTQUAKE_DESC	In combattimento, ogni secondo un nemico Assiderato vicino casuale viene colpito da un tremore che infligge Danno contundente.
PASSIVE_FROSTSHOCK_DESC	Tutte le fonti di danno infliggono il 5% di Danno da stordimento in più per ogni accumulo di Gelo sul bersaglio.
PASSIVE_GLACIALDRAG_DESC	Ogni volta che i tuoi incantesimi consumano Gelo su un nemico, gli applichi per 5 secondi un Rallentamento pari alla potenza degli accumuli consumati.
PASSIVE_GOREWRAITHAMBUSH_DESC	Dopo essere uscito dalla Furtività, il tuo prossimo Attacco finale entro 5 secondi verifica la tua Furia. Se hai almeno 5 accumuli di Furia, ne consuma fino a 10 per infliggere più Danno da taglio e applicare al bersaglio Sanguinamento pari alla Furia consumata. Crea anche un Clone d'ombra nel punto d'impatto per 8 secondi, poi manda i Cloni d'ombra vicini, incluso quello creato, a sferrare un pesante colpo d'ascia al bersaglio. Tempo di recupero: 10 secondi.
PASSIVE_GUARDSTEP_DESC	Cambio conferisce a te e al tuo bersaglio un breve aumento di velocità. Ottieni anche Armatura durante l'aumento di velocità.
PASSIVE_HAYMAKER_DESC	Probabilità di critico +8%; Armatura +12; dopo uno scatto rapido, ottieni +20% Danno fisico per 5 secondi.
PASSIVE_INFECTIONSCENT_DESC	Colpendo un nemico con almeno 10 accumuli di Veleno, ottieni +15% Probabilità di critico per 5 secondi.
PASSIVE_INFECTIOUSCLEAVER_DESC	Lanciare un'abilità delle Arti dell'ascia o di Magia della peste conferisce Mannaia Infettiva per 10 secondi. Mentre è attiva, il tuo prossimo Attacco finale contro un nemico con Sanguinamento ne consuma fino a 10 accumuli per applicare Veleno pari al Sanguinamento consumato e creare una scarica di Decadimento attorno al bersaglio. Tempo di recupero: 6 secondi.
PASSIVE_KINDLEDFOCUS_DESC	Quando applichi Ustione a un nemico, ottieni 15% Rigenerazione della concentrazione per 5 secondi.
PASSIVE_KINDLINGSTRIKE_DESC	Colpire un nemico con il terzo attacco ravvicinato conferisce al tuo prossimo incantesimo di fuoco un bonus cumulabile al Danno da fuoco del 5% per ogni accumulo di Ustione sul nemico. Il bonus si consuma con il prossimo incantesimo di fuoco.
PASSIVE_KNOCKOUTRESERVES_DESC	Quando stordisci un nemico, ripristini il 20% del tuo Vigore massimo.
PASSIVE_LIONSURGE_DESC	Danno critico +30%; i colpi critici con Danno perforante conferiscono +20% Danno perforante per 5 secondi.
PASSIVE_MANYCUTPHANTOM_DESC	Uscire dalla Furtività conferisce Fantasma dai Molti Tagli per 5 secondi. Mentre è attivo, il tuo Attacco finale contro un nemico con almeno 10 accumuli di Sanguinamento ne consuma 10 dal bersaglio, crea un Clone d'ombra vicino a quel nemico per 8 secondi, poi manda i Cloni d'ombra vicini, incluso quello creato, a colpirlo. Tempo di recupero: 12 secondi.
PASSIVE_MURDERTEMPO_DESC	Quando uccidi un nemico con un colpo critico, ottieni il 20% di Velocità d'attacco e il 15% di Danno critico in più per 4 secondi
PASSIVE_NERVEBLIGHT_DESC	Il tuo Danno da veleno genera anche Accumulo di stordimento.
PASSIVE_NIGHTSWHISPER_DESC	Agilità conferisce 2,5 Vigore aggiuntivo
PASSIVE_OVERCHANNEL_DESC	Concentrazione +20%; quando spendi oltre 30 Concentrazione in una volta, ottieni +20% Danno magico per 5 secondi.
PASSIVE_PACKBOND_DESC	Potere della Natura Selvaggia si applica a tutti gli alleati attorno a te.
PASSIVE_PATHSURGE_DESC	Dopo aver inflitto Danno fisico, ottieni 3% Danno magico cumulabile per 4 secondi. Dopo aver inflitto Danno magico, ottieni 3% Danno fisico cumulabile per 4 secondi. Ogni effetto si accumula fino a 5 volte. Aumenta entrambi gli effetti al 7% per accumulo.
PASSIVE_PATHWEAVER_DESC	Dopo aver inflitto Danno fisico, ottieni 3% Danno magico cumulabile per 4 secondi. Dopo aver inflitto Danno magico, ottieni 3% Danno fisico cumulabile per 4 secondi. Ogni effetto si accumula fino a 5 volte.
PASSIVE_PERMAFROSTRHYTHM_DESC	Ogni volta che i tuoi incantesimi consumano Gelo, riduci i tempi di recupero dei tuoi incantesimi dell'1% per accumulo consumato.
PASSIVE_PESTILENTTREMOR_DESC	Lanciare un'abilità di Magia del Minotauro o di Magia della peste con almeno 5 accumuli di Inoculazione ne consuma fino a 10 per creare un Tremore Pestilenziale che dura 1 secondo per accumulo consumato. Tremore Pestilenziale ti segue, colpendo continuamente con scosse i nemici vicini e infliggendo Danno da decadimento. Consuma 2 accumuli di Veleno da ciascun bersaglio per infliggere Danno da stordimento bonus.
PASSIVE_PHANTOMCROSSFIRE_DESC	Dopo aver usato Cambio arma per passare alla balestra, il tuo prossimo Attacco finale a distanza a segno crea un Clone d'ombra vicino al bersaglio per 8 secondi. Poi fa sparare ai Cloni d'ombra vicini, incluso quello creato, un Pugnale d'ombra verso quel nemico. Tempo di recupero: 8 secondi.
PASSIVE_PLAGUEMARKSMANSHIP_DESC	Colpire un nemico con un Attacco finale a distanza, Tiro mirato o un dardo di balestra di Cambio arma consuma 5 accumuli di Veleno dal bersaglio per creare una scarica tossica che infligge Danno da decadimento ai nemici vicini. Richiede almeno 5 accumuli di Veleno sul bersaglio. Tempo di recupero: 2 secondi.
PASSIVE_PLAGUEMIND_DESC	Quando un nemico raggiunge 5 accumuli di Veleno, ottieni Concentrazione al colpo per 5 secondi. Tempo di recupero: 6 secondi
PASSIVE_PULVERIZINGFRENZY_DESC	Colpire un nemico con il terzo attacco ravvicinato mentre hai più di 5 accumuli di Furia consuma la tua Furia per lanciare Polverizza senza costo.
PASSIVE_PUMMEL_DESC	Velocità d'attacco +10%; HP % +10%; colpire rapidamente lo stesso nemico con Danno contundente aumenta il tuo Danno fisico del +20% per 3 secondi.
PASSIVE_PYREECHO_DESC	Quando applichi Ustione a un nemico, ottieni Danno magico bonus pari alla quantità di Ustione sul nemico per 5 secondi.
PASSIVE_QUICKTRADE_DESC	Cambio conferisce a te e al tuo bersaglio un breve aumento di velocità.
PASSIVE_RAGEFROMRUIN_DESC	Quando stordisci un nemico, ottieni 2 accumuli di Furia.
PASSIVE_RECOVERATIVERAGE_DESC	La tua Rigen. vigore aumenta del 2% per accumulo di Furia.
PASSIVE_RECOVERINGFINISHER_DESC	Il terzo attacco del Minotauro ripristina il 20% del Vigore massimo del giocatore se colpisce un nemico
PASSIVE_REGENERATIVERAGE_DESC	La Rigen. vigore aumenta del 10% per accumulo di Furia
PASSIVE_REJUVENATINGRAGE_DESC	La Rigen. concentrazione aumenta del 10% per accumulo di Furia
PASSIVE_RIPOSTEDISCIPLINE_DESC	Dopo una Parata riuscita, il tuo prossimo Terzo Colpo infligge il 30% di danno in più. Dura 6 secondi.
PASSIVE_RIPOSTE_DESC	HP % +20%; Velocità d'attacco +8%; dopo aver parato un attacco, ottieni +20% Danno da taglio per 3 secondi.
PASSIVE_RIPPLINGECHOES_DESC	Quando a un nemico viene applicata Eco temporale oltre 5 accumuli, rilasci un'Ondulazione Temporale che infligge Danno da etere e Danno da stordimento aggiuntivo a quel nemico e a tutti quelli attorno. L'ondulazione ha un tempo di recupero di 4 secondi per nemico.
PASSIVE_RIPTIDE_DESC	Riduce del 33% il tempo di recupero di Ondata d'Acqua.
PASSIVE_ROOTFAN_DESC	Ora Radici Avviluppanti evoca 3 radici in un cono.
PASSIVE_SECONDWIND_DESC	Quando lanci un incantesimo o un'abilità il cui costo in Vigore supera il 30% del tuo massimo, recuperi il 50% del costo. Questo effetto può verificarsi solo una volta ogni 15 secondi.
PASSIVE_SEEDROT_DESC	Ora le tue Bombe di Semi lasciano una Pozza di Veleno quando esplodono.
PASSIVE_SEEDSTORM_DESC	Lancia un gruppo di semi anziché uno solo.
PASSIVE_SEEINGRED_DESC	Colpire un nemico con Sanguinamento con un attacco a distanza conferisce 1% Velocità d'attacco per ogni accumulo di Sanguinamento sul bersaglio per 5 secondi.
PASSIVE_SEISMICECHO_DESC	Dopo aver lanciato un incantesimo del Minotauro, il tuo terzo attacco sprigiona un tremore che infligge Danno contundente ai nemici vicini.
PASSIVE_SEPTICAFTERCUT_DESC	Quando consumi Sanguinamento o Veleno da un nemico, ottieni accumuli di Colpo doppio pari al Sanguinamento o al Veleno consumato, fino a 10. Tempo di recupero: 10 secondi.
PASSIVE_SHADOWDUELIST_DESC	Usare Cambio arma per passare alla spada conferisce Furtività per 3 secondi. Il tuo prossimo attacco ravvicinato dalla Furtività conta come Attacco finale. Colpire un nemico con questo Attacco finale crea un Clone d'ombra sul bersaglio per 8 secondi, poi fa scattare i Cloni d'ombra vicini, incluso quello creato, verso quel nemico per colpirlo e infliggere Danno da taglio. Tempo di recupero: 6 secondi.
PASSIVE_SHADOWEDSTEEL_DESC	Dopo aver usato un'abilità dell'Arte dell'ombra, ottieni il 15% di Danno fisico in più per 3 secondi
PASSIVE_SHADOWQUAKE_DESC	Lanciare un'abilità di Magia del Minotauro o delle Arti dell'ombra crea un Clone d'ombra vicino a te per 8 secondi. Poi i Cloni d'ombra vicini, incluso quello creato, sprigionano un'Onda d'Ombra nel terreno, infliggendo Danno contundente ai nemici vicini. Tempo di recupero: 10 secondi.
PASSIVE_SHATTERSTUN_DESC	Quando stordisci un nemico, scateni un tremore ad area che infligge Danno contundente ad area a tutti quelli attorno
PASSIVE_SILENTRECOVERY_DESC	Quando il tuo Vigore scende sotto il 35%, ottieni il 30% di Rigenerazione del vigore in più per 4 secondi. Tempo di recupero: 12 secondi.
PASSIVE_SLASHANDBASH_DESC	Quando uccidi un nemico con Danno da taglio, ottieni 20% Danno fisico per 5 secondi.
PASSIVE_SONICDAGGERS_DESC	Quando spendi 5 accumuli di Ondata temporale, ottieni Pugnali Sonici per 5 secondi. Mentre è attivo, colpire i nemici con un attacco scaglia un Dardo Sonico che li attraversa e infligge danno ripartito tra Danno perforante e Danno contundente.
PASSIVE_STONEHIDE_DESC	Armatura +12; quando colpisci un nemico con Danno contundente, ottieni 15 Armatura per 5 secondi.
PASSIVE_STUNNINGTEMPO_DESC	Quando stordisci un nemico, ottieni 25% Velocità d'attacco per 3 secondi.
PASSIVE_SUDDENSTRIDE_DESC	Quando infliggi un colpo critico a un nemico, ottieni 20% Velocità di movimento per 3 secondi.
PASSIVE_SURGECASTING_DESC	Quando ottieni Ondata temporale, il tuo prossimo incantesimo ha +15% Danno magico. L'effetto dura 5 secondi.
PASSIVE_SURGEOFMASTERY_DESC	Dopo un colpo critico, ottieni +25% Velocità d'attacco per 3 secondi.
PASSIVE_SURGINGVANISH_DESC	Dissolvenza perfetta conferisce 5 accumuli di Ondata temporale.
PASSIVE_TEMPOCONVERSION_DESC	Dopo aver usato un incantesimo o un'abilità, il tuo prossimo Terzo Colpo ha +15% Probabilità di critico. L'effetto dura 5 secondi.
PASSIVE_TEMPORALCLEAVE_DESC	Colpire un nemico con il tuo Attacco finale spende la tua Ondata temporale per applicare a tutti i nemici vicini Sanguinamento pari all'Ondata temporale spesa
PASSIVE_TEMPORALROT_DESC	Quando consumi Veleno da un nemico, applichi Eco temporale pari al Veleno consumato, fino a 10 accumuli. Se consumi almeno 5 accumuli di Veleno, crei una scarica di Decadimento attorno al bersaglio. Tempo di recupero: 6 secondi.
PASSIVE_THICKSKIN_DESC	Quando subisci un danno che ti porterebbe sotto il 40% degli HP, il danno si dimezza. Può accadere solo una volta ogni 30 secondi.
PASSIVE_TIDEPOOL_DESC	Ondata d'Acqua lascia una pozza dietro di sé.
PASSIVE_TIMELESSFLAMES_DESC	Dopo aver usato un'abilità da Elfo, il tuo prossimo incantesimo di Fuoco spende fino a 10 accumuli di Ondata temporale per ridurre il proprio tempo di recupero del 4% per accumulo speso. L'effetto dura 5 secondi e ha un tempo di recupero di 10 secondi.
PASSIVE_TOXICBLOOM_DESC	Le tue radici applicano 2 accumuli di Veleno in più.
PASSIVE_VIRULENTCASTING_DESC	Quando infliggi un colpo critico con un incantesimo, ottieni il 15% di Celerità magica in più per 3 secondi
PASSIVE_VITALCONDUIT_DESC	Ora Memoria aumenta il Vigore massimo di 5
PASSIVE_WEAKPOINTSENSE_DESC	Quando infliggi un colpo critico a un nemico sotto il 40% di Salute, la tua prossima abilità dell'Arte dell'ombra ha il 20% di Probabilità di critico in più. Tempo di recupero: 6 secondi
PASSIVE_WEAVINGJABS_DESC	Dopo aver usato Cambio arma, per 5 secondi lanci automaticamente Jab rapido contro un bersaglio vicino quando attacchi in mischia.
PASSIVE_WHIRLOFGORE_DESC	Quando colpisci un nemico con Sanguinamento, hai una probabilità di attivare un attacco rotante ad area. La probabilità aumenta per ogni accumulo di Sanguinamento
PASSIVE_WILDFIRE_DESC	HP % +20%; infliggi +15% danno ai nemici con Ustione.
PASSIVE_WINTERFOCUS_DESC	Quando applichi Gelo a un nemico, ottieni 15% Rigenerazione della concentrazione per 5 secondi.
PASSIVE_WINTERGUARD_DESC	Armatura +16; i nemici Assiderati ti infliggono il 10% di danno in meno.
POI_DWARVENROAD_LORE	La strada verso le montagne dei nani
POI_EARLWOODENTRANCE_LORE	Le grandi porte di Earlwood
POI_EARLWOODENTRANCE_POPUP	Ingresso Est di Earlwood
POI_EARLWOODFARMLANDSROADSIDECAMP_LORE	Campo sulla Strada delle Terre Coltivate
POI_FARMLANDSNORTH_POPUP	Punto di passaggio delle Terre Coltivate Nord
POI_FARMLANDSSOUTH_POPUP	Punto di passaggio delle Terre Coltivate Sud
POI_FORESTSEDGEHOMESTEAD_LORE	Fattoria ai Margini della Foresta
POI_FORESTSEDGEHOMESTEAD_POPUP	Fattoria ai Margini della Foresta
POI_GOLEMSGARDEN_LORE	Giardino dei Golem
POI_GOLEMSGARDEN_POPUP	Giardino dei Golem
POI_HEIMENSCAMP_LORE	Campo sul Fiume di Heimen<x1/>
POI_LOSTARCHEOLOGISTCAMPFIRE_LORE	Campo dell'Archeologo Perduto
POI_NORTHCUTCAMPCAMPFIRE_LORE	Campo di Northcut
POI_ROADSIDEOUTPOST_LORE	Avamposto sulla Strada<x1/>
POI_THEGREATERWILDWOOD_LORE	Nel cuore di Wildwood
POI_THEGUILDSCOMMUNALCAMPFIRE_LORE	Falò del Villaggio di Earlwood
POI_THELOSTCAVERNSTUTORIAL_LORE	Dall'altra parte
POI_WAYGATE_ACTIVATED	Nuovo Varco attivato:
POI_WAYGATE_UNLOCKED	Varco sbloccato:
POI_WILDWOODROADSIDECAMP_LORE	Campo sulla Strada di Wildwood
STACKEFFECT_ALACRITY_DESC	Aumenta la Velocità d'attacco del 2% per accumulo.
STACKEFFECT_BLEEDING_DESC	Infligge 2 danni ogni secondo per accumulo.
STACKEFFECT_BURNING_DESC	Infligge 2 danni ogni secondo per accumulo.
STACKEFFECT_CHILL_DESC	Riduce la Velocità di movimento del 2% per accumulo
STACKEFFECT_DOUBLESTRIKE_DESC	Ogni singola istanza di danno dei tuoi attacchi colpisce due volte. Consuma un accumulo per attacco.
STACKEFFECT_INOCULATION_DESC	Conferisce Resistenza al decadimento mentre è attivo, riducendo il danno subito da Veleno e da altre fonti di Decadimento. Viene consumato da alcuni incantesimi di veleno.
STACKEFFECT_KINDLED_DESC	Conferisce Resistenza al fuoco mentre è attivo, riducendo il danno subito da Ustione e da altre fonti di Fuoco. Viene consumato da alcuni incantesimi di fuoco.
STACKEFFECT_POISON_DESC	Infligge 2 danni ogni secondo per accumulo.
STACKEFFECT_RAGE_DESC	Aumenta il Danno fisico del 2% per accumulo.
STACKEFFECT_SHOCK_DESC	Aumenta la riduzione dei tempi di recupero e la Velocità di movimento.
STACKEFFECT_TEMPORALECHO_DESC	Rallenta il movimento del 2% per accumulo.
STACKEFFECT_TEMPORALSURGE_DESC	Aumenta la Velocità di movimento dell'1% per accumulo.
STACKEFFECT_TREANTBURNING_DESC	Gli accumuli di Ustione aumentano il danno al bersaglio
STACKEFFECT_VERSATILEWARRIOR_DESC	Aumenta il Danno fisico e il Danno magico
SUBTITLE_FAUSTASFINDEXIT	Ah, eccoti! Se fossi così gentile da trovare l'uscita, te ne sarei grato. Per me trovare l'ingresso si sta rivelando sorprendentemente difficile.
SUBTITLE_FAUSTASNEARLYOUT	Splendido! Sei quasi fuori. Cerca di non morire proprio agli ultimi passi: rovinerebbe terribilmente il finale.
